,interview,task,numfixations,fixationrate,meanfixationduration,stddevfixationduration,sumfixationduration
304,EU-015,Memory,5,0.000101818478017,179.8,83.607415939,899
305,EU-015,CookieTheft,64,0.000746799845973,240.484375,207.240140761,15391
306,EU-015,PupilCalib,10,0.00084040675687,510.0,299.814757624,5100
307,EU-024,EU-024_allsc,62,0.000436601270369,237.193548387,199.006782874,14706
308,EU-024,Reading,23,0.000455454563457,204.260869565,236.430312122,4698
309,EU-024,Memory,9,0.000282974375098,178.666666667,111.337325278,1608
310,EU-024,CookieTheft,17,0.000357120349558,247.058823529,192.106894263,4200
311,EU-024,PupilCalib,13,0.00107446896438,323.076923077,169.085018821,4200
312,EU-161,EU-161_allsc,167,0.000765735404029,248.51497006,307.065431124,41502
313,EU-161,Reading,44,0.000626798484287,222.681818182,142.793194536,9798
314,EU-161,Memory,14,0.000487821875327,214.285714286,183.374953651,3000
315,EU-161,CookieTheft,102,0.000923118693154,234.362745098,188.580617486,23905
316,EU-161,PupilCalib,7,0.000804690194275,685.571428571,1247.8610843,4799
317,EY-035,EY-035_allsc,72,0.000303802595824,236.0,176.367094756,16992
318,EY-035,Reading,23,0.000192629815745,182.608695652,83.4057656228,4200
319,EY-035,Memory,7,0.000210843373494,185.714285714,121.498579259,1300
320,EY-035,CookieTheft,27,0.00037816714988,225.62962963,163.384432962,6092
321,EY-035,PupilCalib,15,0.00115393491807,360.0,261.315354095,5400
322,EY-043,EY-043_allsc,194,0.000989245776583,273.12371134,301.911981743,52986
323,EY-043,Reading,65,0.000918066129009,210.584615385,137.012874886,13688
324,EY-043,Memory,50,0.000807663107565,258.32,375.666234842,12916
325,EY-043,CookieTheft,73,0.00139307660013,288.794520548,217.624929568,21082
326,EY-043,PupilCalib,6,0.00054550413674,883.333333333,842.417157154,5300
327,EY-088,EY-088_allsc,375,0.000907781503044,269.453333333,255.731753539,101045
328,EY-088,Reading,49,0.000968322036243,273.12244898,254.184122296,13383
329,EY-088,Memory,130,0.000720640815987,232.169230769,234.384072879,30182
330,EY-088,CookieTheft,185,0.0010718548303,279.897297297,249.492474495,51781
331,EY-088,PupilCalib,11,0.00115801663333,518.090909091,440.022829986,5699
332,HA-0002,HA-0002_allsc,122,0.00105623133198,236.581967213,247.14534955,28863
333,HA-0002,Reading,52,0.00099802314646,217.403846154,154.613529532,11305
334,HA-0002,Memory,26,0.000817481528062,161.5,106.143770425,4199
335,HA-0002,CookieTheft,30,0.0015229972586,196.666666667,132.569652046,5900
336,HA-0002,PupilCalib,14,0.00117656945962,532.785714286,550.417488901,7459
337,HA-006,HA-006_allsc,42,0.000211678611388,171.047619048,95.8283405254,7184
338,HA-006,Reading,8,0.000217953957227,123.0,71.6100551599,984
339,HA-006,Memory,3,5.2265718915e-05,133.333333333,57.735026919,400
340,HA-006,CookieTheft,20,0.000214125884608,159.6,68.4492897199,3192
341,HA-006,PupilCalib,11,0.00100852663427,237.090909091,130.991186379,2608
342,HA-016,HA-016_allsc,158,0.000715297867235,225.955696203,297.327337787,35701
343,HA-016,Reading,81,0.000846403828671,158.086419753,92.1749962749,12805
344,HA-016,Memory,28,0.000387843865141,171.428571429,130.120009726,4800
345,HA-016,CookieTheft,40,0.000959347643602,234.925,171.734348744,9397
346,HA-016,PupilCalib,9,0.000796530666431,966.555555556,880.080551869,8699
347,HA-018,HA-018_allsc,182,0.000477568702981,371.478021978,713.297623376,67609
348,HA-018,Reading,41,0.000606499903848,270.731707317,244.073761842,11100
349,HA-018,Memory,42,0.00019590191844,314.380952381,238.9172683,13204
350,HA-018,CookieTheft,95,0.001094419612,336.905263158,284.209657168,32006
351,HA-018,PupilCalib,4,0.000325229693471,2824.75,4283.0966504,11299
352,HA-019,HA-019_allsc,203,0.00080079843154,266.9408867,319.0957466,54189
353,HA-019,Reading,49,0.00100012246398,173.469387755,107.520754206,8500
354,HA-019,Memory,73,0.000717057119002,215.082191781,296.304402104,15701
355,HA-019,CookieTheft,71,0.000775117632289,313.929577465,299.858887,22289
356,HA-019,PupilCalib,10,0.000900982070457,769.9,673.866859583,7699
357,HA-025,HA-025_allsc,71,0.0004619388419,259.197183099,352.312021599,18403
358,HA-025,Reading,28,0.000582181099906,192.785714286,115.204281409,5398
359,HA-025,Memory,15,0.000258647446288,126.6,79.9051223103,1899
360,HA-025,CookieTheft,19,0.000516234207309,168.789473684,88.241196569,3207
361,HA-025,PupilCalib,9,0.000832870627429,877.666666667,717.261458605,7899
362,HA-027,HA-027_allsc,136,0.00116633077484,251.455882353,372.511254966,34198
363,HA-027,Reading,59,0.00129114145658,176.271186441,93.4750253403,10400
364,HA-027,Memory,21,0.00110485610565,167.428571429,96.1189738962,3516
